,object detected,requestid,model,resolution,contrast,sharpness,brightness,saturation,noise,blur,image id,correctly detect,true class
0,"[['person', 0.7944711446762085], ['person', 0.7054672241210938], ['bus', 0.5110685229301453], ['bicycle', 0.44251003861427307], ['bicycle', 0.3922000527381897], ['person', 0.3063264787197113], ['motorcycle', 0.28003647923469543], ['bicycle', 0.2744797468185425]]",4ad92765-b554-42e6-a2e9-4492e5eba2e9,yolov5n,"[427, 640]",4294.16,4294.16,143.67,95.53,37.58196721311475,4294.15966946464,541124874_7247349bb7_z_degraded.jpg,1,bicycle
1,"[['person', 0.8475117087364197], ['bicycle', 0.846757173538208], ['person', 0.62453293800354], ['bicycle', 0.4956000745296478], ['bicycle', 0.4889961779117584], ['truck', 0.4827646315097809], ['person', 0.4745646119117737], ['person', 0.4284869134426117], ['person', 0.4127529561519623], ['person', 0.37981554865837097], ['car', 0.32349738478660583], ['person', 0.30285269021987915], ['bicycle', 0.29663634300231934]]",4ad92765-b554-42e6-a2e9-4492e5eba2e9,yolov8n,"[427, 640]",4294.16,4294.16,143.67,95.53,37.58196721311475,4294.15966946464,541124874_7247349bb7_z_degraded.jpg,1,bicycle
2,"[['teddy bear', 0.49935945868492126], ['fire hydrant', 0.2649206221103668]]",192f1581-6d1a-43d3-9818-c03ebc1e8962,yolov5n,"[640, 480]",446.95,446.95,244.77,18.43,97.14192708333333,446.94677734375,4975505027_db5864977d_z_degraded.jpg,0,dog
3,"[['teddy bear', 0.6800684928894043], ['teddy bear', 0.6485485434532166], ['bear', 0.25272196531295776]]",192f1581-6d1a-43d3-9818-c03ebc1e8962,yolov8n,"[640, 480]",446.95,446.95,244.77,18.43,97.14192708333333,446.94677734375,4975505027_db5864977d_z_degraded.jpg,0,dog
4,"[['person', 0.3807419538497925], ['person', 0.3557542860507965], ['person', 0.32823771238327026], ['person', 0.27434852719306946]]",f3273ecb-6f56-4bc3-a6f9-6bc4e08aae5d,yolov5n,"[639, 587]",2312.69,2312.69,153.23,112.79,31.61349318702295,2312.6867071371935,7283869010_60b2e311b5_z_degraded.jpg,0,dog
5,"[['person', 0.6365526914596558], ['person', 0.5430070757865906], ['person', 0.2860720455646515]]",f3273ecb-6f56-4bc3-a6f9-6bc4e08aae5d,yolov8n,"[639, 587]",2312.69,2312.69,153.23,112.79,31.61349318702295,2312.6867071371935,7283869010_60b2e311b5_z_degraded.jpg,0,dog
6,"[['car', 0.7355478405952454], ['bird', 0.5073666572570801]]",424de79f-e6a5-4c89-8ed1-e759192d70f7,yolov5n,"[640, 427]",1305.34,1305.34,192.26,28.28,49.7698331381733,1305.335068727871,3499391979_76c0c01a3c_z_degraded.jpg,1,car
7,"[['car', 0.9100399613380432]]",424de79f-e6a5-4c89-8ed1-e759192d70f7,yolov8n,"[640, 427]",1305.34,1305.34,192.26,28.28,49.7698331381733,1305.335068727871,3499391979_76c0c01a3c_z_degraded.jpg,1,car
8,"[['bicycle', 0.7057498097419739], ['person', 0.5381698608398438]]",24f91c7e-31ae-48e5-81ce-594ea80f3d11,yolov5n,"[480, 639]",635.9,635.9,147.85,120.04,17.759520083463745,635.8951613965415,7675033952_b3caa0dd37_z_degraded.jpg,1,bicycle
9,"[['bicycle', 0.9277333617210388], ['person', 0.856777548789978]]",24f91c7e-31ae-48e5-81ce-594ea80f3d11,yolov8n,"[480, 639]",635.9,635.9,147.85,120.04,17.759520083463745,635.8951613965415,7675033952_b3caa0dd37_z_degraded.jpg,1,bicycle
10,"[['person', 0.38595542311668396]]",9b2dcd06-4ec0-46a1-8197-72f4235a4132,yolov5n,"[428, 640]",1120.15,1120.15,136.8,127.32,16.689179322429908,1120.1472718889668,189076128_ee6f694a30_z_degraded.jpg,1,person
11,"[['person', 0.8553193807601929]]",9b2dcd06-4ec0-46a1-8197-72f4235a4132,yolov8n,"[428, 640]",1120.15,1120.15,136.8,127.32,16.689179322429908,1120.1472718889668,189076128_ee6f694a30_z_degraded.jpg,1,person
12,"[['truck', 0.6649165153503418], ['truck', 0.42294740676879883]]",44d77628-2f98-4930-91e7-635ce3752605,yolov5n,"[640, 458]",2731.32,2731.32,148.19,91.54,45.151473799126634,2731.3228926091865,19577109682_a0282d8678_z_degraded.jpg,0,car
13,"[['truck', 0.8412222862243652], ['truck', 0.6978181004524231], ['potted plant', 0.3049677312374115], ['potted plant', 0.263992041349411]]",44d77628-2f98-4930-91e7-635ce3752605,yolov8n,"[640, 458]",2731.32,2731.32,148.19,91.54,45.151473799126634,2731.3228926091865,19577109682_a0282d8678_z_degraded.jpg,0,car
14,[],9e0d155a-dcf9-4148-a3ab-9ba91d32a358,yolov5n,"[639, 422]",1275.34,1275.34,181.83,31.91,45.10157310370914,1275.3352621350548,2177230709_086e9d23d8_z_degraded.jpg,0,cat
15,"[['cat', 0.8534237146377563]]",9e0d155a-dcf9-4148-a3ab-9ba91d32a358,yolov8n,"[639, 422]",1275.34,1275.34,181.83,31.91,45.10157310370914,1275.3352621350548,2177230709_086e9d23d8_z_degraded.jpg,1,cat
16,[],f79c00a8-33e7-43d2-b360-8c958bdbedc9,yolov5n,"[640, 620]",3082.99,3082.99,181.45,93.45,44.3515625,3082.989069998236,7443993440_80892cc39d_z_degraded.jpg,0,dog
17,"[['dog', 0.673466682434082], ['dog', 0.25866031646728516]]",f79c00a8-33e7-43d2-b360-8c958bdbedc9,yolov8n,"[640, 620]",3082.99,3082.99,181.45,93.45,44.3515625,3082.989069998236,7443993440_80892cc39d_z_degraded.jpg,1,dog
18,"[['person', 0.5186931490898132]]",7e2593e8-33ad-460e-a879-84ddc55f18e6,yolov5n,"[427, 640]",1058.51,1058.51,220.08,47.63,65.50241510538642,1058.5094032539994,8031274301_1d9bc9b665_z_degraded.jpg,1,person
19,"[['person', 0.8011122941970825], ['person', 0.3700561821460724], ['tie', 0.29085496068000793]]",7e2593e8-33ad-460e-a879-84ddc55f18e6,yolov8n,"[427, 640]",1058.51,1058.51,220.08,47.63,65.50241510538642,1058.5094032539994,8031274301_1d9bc9b665_z_degraded.jpg,1,person
20,"[['cat', 0.6592451333999634]]",e822ad8e-2235-432c-abe2-52803b5bbcd3,yolov5n,"[640, 480]",172.36,172.36,203.22,27.88,70.41959635416667,172.3577421220144,3582713912_3d9ac5ecc9_z_degraded.jpg,1,cat
21,"[['cat', 0.6144531965255737], ['cat', 0.3913037180900574]]",e822ad8e-2235-432c-abe2-52803b5bbcd3,yolov8n,"[640, 480]",172.36,172.36,203.22,27.88,70.41959635416667,172.3577421220144,3582713912_3d9ac5ecc9_z_degraded.jpg,1,cat
22,"[['bicycle', 0.39313045144081116], ['person', 0.3488258123397827], ['person', 0.2704751491546631]]",5894a50d-d90c-4fec-b96c-e154b79fc71d,yolov5n,"[640, 427]",10410.51,10410.51,187.04,125.02,36.83072306791569,10410.511576579063,9141188655_328b195d8d_z_degraded.jpg,1,bicycle
23,"[['person', 0.8140439391136169], ['bicycle', 0.7916126847267151]]",5894a50d-d90c-4fec-b96c-e154b79fc71d,yolov8n,"[640, 427]",10410.51,10410.51,187.04,125.02,36.83072306791569,10410.511576579063,9141188655_328b195d8d_z_degraded.jpg,1,bicycle
24,"[['person', 0.42244186997413635]]",954912b3-f8f5-48d4-af1e-1233eecf405f,yolov5n,"[640, 541]",234.04,234.04,83.06,139.14,37.811633548983366,234.04207070979027,6309741882_b074ee1a96_z_degraded.jpg,1,person
25,"[['person', 0.7782448530197144], ['elephant', 0.4600948691368103]]",954912b3-f8f5-48d4-af1e-1233eecf405f,yolov8n,"[640, 541]",234.04,234.04,83.06,139.14,37.811633548983366,234.04207070979027,6309741882_b074ee1a96_z_degraded.jpg,1,person
26,"[['person', 0.6531857848167419], ['person', 0.5499574542045593], ['person', 0.5359042882919312]]",99bb4b92-a4c9-4d61-a740-eecc4e2a99d5,yolov5n,"[640, 480]",4320.75,4320.75,186.07,45.17,42.914713541666664,4320.7528306393,14786765330_5d381d2451_z_degraded.jpg,0,car
27,"[['person', 0.7467103004455566], ['person', 0.7049944996833801], ['person', 0.6985385417938232], ['person', 0.6376432776451111], ['person', 0.544241189956665], ['person', 0.4878358244895935], ['car', 0.38526487350463867], ['airplane', 0.35531097650527954], ['truck', 0.346757709980011]]",99bb4b92-a4c9-4d61-a740-eecc4e2a99d5,yolov8n,"[640, 480]",4320.75,4320.75,186.07,45.17,42.914713541666664,4320.7528306393,14786765330_5d381d2451_z_degraded.jpg,1,car
28,[],fcb10bcd-5a30-45bc-8c9d-2691e36b726e,yolov5n,"[640, 427]",201.16,201.16,99.19,131.15,10.442403395784543,201.15760359685476,207320225_2446b6cf11_z_degraded.jpg,0,cat
29,"[['dog', 0.28870147466659546], ['cat', 0.2858731150627136]]",fcb10bcd-5a30-45bc-8c9d-2691e36b726e,yolov8n,"[640, 427]",201.16,201.16,99.19,131.15,10.442403395784543,201.15760359685476,207320225_2446b6cf11_z_degraded.jpg,1,cat
30,"[['person', 0.3034187853336334]]",ccd1b8cb-4d5e-480e-bee4-7d686740520f,yolov5n,"[640, 640]",2969.13,2969.13,203.36,34.22,59.13305664062499,2969.1343599298243,19030996840_1fbbb14eeb_z_degraded.jpg,0,dog
31,"[['dog', 0.8071691393852234]]",ccd1b8cb-4d5e-480e-bee4-7d686740520f,yolov8n,"[640, 640]",2969.13,2969.13,203.36,34.22,59.13305664062499,2969.1343599298243,19030996840_1fbbb14eeb_z_degraded.jpg,1,dog
32,"[['person', 0.8720066547393799], ['motorcycle', 0.421465665102005]]",9a973cd2-627e-4f75-9d2f-8e8f2cfeb141,yolov5n,"[640, 480]",1581.52,1581.52,199.15,51.14,59.300130208333336,1581.5236493447198,5971377496_abc7d794c7_z_degraded.jpg,0,bicycle
33,"[['person', 0.8462710976600647], ['bicycle', 0.7035359144210815], ['bicycle', 0.3608153760433197]]",9a973cd2-627e-4f75-9d2f-8e8f2cfeb141,yolov8n,"[640, 480]",1581.52,1581.52,199.15,51.14,59.300130208333336,1581.5236493447198,5971377496_abc7d794c7_z_degraded.jpg,1,bicycle
34,"[['elephant', 0.481791615486145]]",e2812a60-508b-4737-9e8d-c2215b343fba,yolov5n,"[640, 480]",680.48,680.48,210.95,26.13,71.74251302083333,680.47870425059,2218544892_0ae9cb42da_z_degraded.jpg,0,cat
35,"[['cat', 0.47320953011512756]]",e2812a60-508b-4737-9e8d-c2215b343fba,yolov8n,"[640, 480]",680.48,680.48,210.95,26.13,71.74251302083333,680.47870425059,2218544892_0ae9cb42da_z_degraded.jpg,1,cat
36,"[['person', 0.61344313621521]]",a9716c0f-6101-4c9d-884a-63548057c875,yolov5n,"[640, 427]",5849.08,5849.08,166.52,119.38,38.47262880562061,5849.07775984573,14289042367_a041af95f4_z_degraded.jpg,0,bicycle
37,"[['person', 0.8986724019050598], ['bicycle', 0.8830006122589111], ['person', 0.4185011684894562]]",a9716c0f-6101-4c9d-884a-63548057c875,yolov8n,"[640, 427]",5849.08,5849.08,166.52,119.38,38.47262880562061,5849.07775984573,14289042367_a041af95f4_z_degraded.jpg,1,bicycle
38,[],6349ad31-9c39-4d36-bca6-fd1d4ff0c2d8,yolov5n,"[640, 425]",954.61,954.61,156.92,108.43,11.49705882352941,954.6058984567474,6771874127_f8f380b3cb_z_degraded.jpg,0,bicycle
39,"[['person', 0.3451404869556427]]",6349ad31-9c39-4d36-bca6-fd1d4ff0c2d8,yolov8n,"[640, 425]",954.61,954.61,156.92,108.43,11.49705882352941,954.6058984567474,6771874127_f8f380b3cb_z_degraded.jpg,0,bicycle
40,"[['bicycle', 0.40939217805862427], ['bicycle', 0.33143430948257446]]",53e7a21f-c833-40a8-b263-1ea6ca3d8ad1,yolov5n,"[480, 640]",3476.6,3476.6,176.68,50.44,31.326497395833336,3476.601096213405,7548613890_a6272237ac_z_degraded.jpg,1,bicycle
41,"[['bicycle', 0.851311206817627], ['bicycle', 0.3699564039707184], ['motorcycle', 0.29860541224479675]]",53e7a21f-c833-40a8-b263-1ea6ca3d8ad1,yolov8n,"[480, 640]",3476.6,3476.6,176.68,50.44,31.326497395833336,3476.601096213405,7548613890_a6272237ac_z_degraded.jpg,1,bicycle
42,"[['elephant', 0.28806960582733154]]",817d5e99-86e2-4152-9a7f-4b43071a4d29,yolov5n,"[640, 480]",450.62,450.62,211.79,44.3,46.4267578125,450.6196658078405,2814480856_385049d567_z_degraded.jpg,0,dog
43,"[['elephant', 0.5529600977897644]]",817d5e99-86e2-4152-9a7f-4b43071a4d29,yolov8n,"[640, 480]",450.62,450.62,211.79,44.3,46.4267578125,450.6196658078405,2814480856_385049d567_z_degraded.jpg,0,dog
44,[],5fd3e1bf-88ec-4834-9f60-92a2a2122c92,yolov5n,"[640, 580]",1346.23,1346.23,194.33,77.3,44.06519396551724,1346.2252556817057,11335325886_75cf456ea8_z_degraded.jpg,0,cat
45,"[['elephant', 0.2906128764152527]]",5fd3e1bf-88ec-4834-9f60-92a2a2122c92,yolov8n,"[640, 580]",1346.23,1346.23,194.33,77.3,44.06519396551724,1346.2252556817057,11335325886_75cf456ea8_z_degraded.jpg,0,cat
46,[],431bb2e6-2407-47bd-8eea-1f40ad4f5f6d,yolov5n,"[480, 640]",45.41,45.41,209.73,70.74,25.470052083333332,45.40894159884982,2244176071_615b055c30_z_degraded.jpg,0,cat
47,[],431bb2e6-2407-47bd-8eea-1f40ad4f5f6d,yolov8n,"[480, 640]",45.41,45.41,209.73,70.74,25.470052083333332,45.40894159884982,2244176071_615b055c30_z_degraded.jpg,0,cat
48,"[['bicycle', 0.321422278881073]]",95706bee-6e61-4b3a-b4b2-49c0dd9a8564,yolov5n,"[640, 640]",8203.97,8203.97,182.78,58.05,44.7900390625,8203.973811453763,10218081326_b6a2dd98f5_z_degraded.jpg,0,car
49,[],95706bee-6e61-4b3a-b4b2-49c0dd9a8564,yolov8n,"[640, 640]",8203.97,8203.97,182.78,58.05,44.7900390625,8203.973811453763,10218081326_b6a2dd98f5_z_degraded.jpg,0,car
50,[],735afefc-b4ae-42e4-91a0-95b7f7637a3c,yolov5n,"[640, 480]",831.08,831.08,182.02,38.64,49.695638020833336,831.0818434397274,489195247_b908298ee6_z_degraded.jpg,0,dog
