Image ID,Model,correctly_detect,true_class
5290576324_881daf8265_z_degraded.jpg,aggregated,1,dog
5290576324_881daf8265_z_degraded.jpg,yolov5n,0,dog
5290576324_881daf8265_z_degraded.jpg,yolov8n,1,dog
2370036280_507a07c953_z_degraded.jpg,aggregated,1,car
2370036280_507a07c953_z_degraded.jpg,yolov5n,1,car
2370036280_507a07c953_z_degraded.jpg,yolov8n,1,car
2230295891_a68077f047_z_degraded.jpg,aggregated,1,cat
2230295891_a68077f047_z_degraded.jpg,yolov5n,0,cat
2230295891_a68077f047_z_degraded.jpg,yolov8n,1,cat
82706249_bf54b24c4e_z_degraded.jpg,aggregated,1,car
82706249_bf54b24c4e_z_degraded.jpg,yolov5n,0,car
82706249_bf54b24c4e_z_degraded.jpg,yolov8n,1,car
892497288_b916ec820e_z_degraded.jpg,aggregated,1,person
892497288_b916ec820e_z_degraded.jpg,yolov5n,0,person
892497288_b916ec820e_z_degraded.jpg,yolov8n,1,person
3452990622_cfb5fba34a_z_degraded.jpg,aggregated,1,bicycle
3452990622_cfb5fba34a_z_degraded.jpg,yolov5n,1,bicycle
3452990622_cfb5fba34a_z_degraded.jpg,yolov8n,1,bicycle
16954781749_4c32123444_z_degraded.jpg,aggregated,1,person
16954781749_4c32123444_z_degraded.jpg,yolov5n,1,person
16954781749_4c32123444_z_degraded.jpg,yolov8n,1,person
7475018518_6c715a96c1_z_degraded.jpg,aggregated,1,dog
7475018518_6c715a96c1_z_degraded.jpg,yolov5n,0,dog
7475018518_6c715a96c1_z_degraded.jpg,yolov8n,1,dog
12570366253_52905ec5a1_z_degraded.jpg,aggregated,1,cat
12570366253_52905ec5a1_z_degraded.jpg,yolov5n,0,cat
12570366253_52905ec5a1_z_degraded.jpg,yolov8n,1,cat
8538565946_199e28b584_z_degraded.jpg,aggregated,1,person
8538565946_199e28b584_z_degraded.jpg,yolov5n,0,person
8538565946_199e28b584_z_degraded.jpg,yolov8n,1,person
11101898274_dcf6061b20_z_degraded.jpg,aggregated,0,cat
11101898274_dcf6061b20_z_degraded.jpg,yolov5n,0,cat
11101898274_dcf6061b20_z_degraded.jpg,yolov8n,0,cat
17554656478_22dea58ed2_z_degraded.jpg,aggregated,1,car
17554656478_22dea58ed2_z_degraded.jpg,yolov5n,0,car
17554656478_22dea58ed2_z_degraded.jpg,yolov8n,1,car
7417962302_a50fc8eb6b_z_degraded.jpg,aggregated,1,bicycle
7417962302_a50fc8eb6b_z_degraded.jpg,yolov5n,1,bicycle
7417962302_a50fc8eb6b_z_degraded.jpg,yolov8n,1,bicycle
2883059364_a6ccfaf69a_z_degraded.jpg,aggregated,0,bicycle
2883059364_a6ccfaf69a_z_degraded.jpg,yolov5n,0,bicycle
