Image ID,RequestId,Model,correctly_detect,true_class
5763085728_cd042a4cb0_z_degraded.jpg,5b4f86a8-9139-4d8a-85c7-cd7b6a6247da,aggregated,1,car
5763085728_cd042a4cb0_z_degraded.jpg,5b4f86a8-9139-4d8a-85c7-cd7b6a6247da,yolov5n,0,car
5763085728_cd042a4cb0_z_degraded.jpg,5b4f86a8-9139-4d8a-85c7-cd7b6a6247da,yolov8n,1,car
3582713912_3d9ac5ecc9_z_degraded.jpg,237a0159-4cce-474f-9571-24477c43afee,aggregated,1,cat
3582713912_3d9ac5ecc9_z_degraded.jpg,237a0159-4cce-474f-9571-24477c43afee,yolov5n,1,cat
3582713912_3d9ac5ecc9_z_degraded.jpg,237a0159-4cce-474f-9571-24477c43afee,yolov8n,1,cat
3372528428_1fdbd7e39c_z_degraded.jpg,474a7bba-7be9-4061-87cb-0d45208d7e6d,aggregated,0,cat
3372528428_1fdbd7e39c_z_degraded.jpg,474a7bba-7be9-4061-87cb-0d45208d7e6d,yolov5n,0,cat
3372528428_1fdbd7e39c_z_degraded.jpg,474a7bba-7be9-4061-87cb-0d45208d7e6d,yolov8n,0,cat
21376683791_d98acff014_z_degraded.jpg,1b103aa8-acea-41e1-9635-276e51fa6e5f,aggregated,1,bicycle
21376683791_d98acff014_z_degraded.jpg,1b103aa8-acea-41e1-9635-276e51fa6e5f,yolov5n,0,bicycle
21376683791_d98acff014_z_degraded.jpg,1b103aa8-acea-41e1-9635-276e51fa6e5f,yolov8n,1,bicycle
3353007655_56889b94a7_z_degraded.jpg,585fa9e0-71bc-4a58-a7e4-b1e5dfa751eb,aggregated,1,bicycle
3353007655_56889b94a7_z_degraded.jpg,585fa9e0-71bc-4a58-a7e4-b1e5dfa751eb,yolov5n,1,bicycle
3353007655_56889b94a7_z_degraded.jpg,585fa9e0-71bc-4a58-a7e4-b1e5dfa751eb,yolov8n,1,bicycle
15392489891_905432249f_z_degraded.jpg,3625f109-45db-49ad-90b7-3f265d9bf9b0,aggregated,1,person
15392489891_905432249f_z_degraded.jpg,3625f109-45db-49ad-90b7-3f265d9bf9b0,yolov5n,1,person
15392489891_905432249f_z_degraded.jpg,3625f109-45db-49ad-90b7-3f265d9bf9b0,yolov8n,1,person
2946145533_75f5268f19_z_degraded.jpg,fb00de36-8811-49b5-a590-cab388f2e649,aggregated,1,person
2946145533_75f5268f19_z_degraded.jpg,fb00de36-8811-49b5-a590-cab388f2e649,yolov5n,0,person
2946145533_75f5268f19_z_degraded.jpg,fb00de36-8811-49b5-a590-cab388f2e649,yolov8n,1,person
3844809782_aa1ce17781_z_degraded.jpg,f250864b-38ae-4fd6-8479-f2ffbf1fd3c1,aggregated,1,cat
3844809782_aa1ce17781_z_degraded.jpg,f250864b-38ae-4fd6-8479-f2ffbf1fd3c1,yolov5n,0,cat
3844809782_aa1ce17781_z_degraded.jpg,f250864b-38ae-4fd6-8479-f2ffbf1fd3c1,yolov8n,1,cat
750912399_32f415ecb1_z_degraded.jpg,fbf4dfa8-472e-4033-ab4b-8b084d96d01d,aggregated,1,car
750912399_32f415ecb1_z_degraded.jpg,fbf4dfa8-472e-4033-ab4b-8b084d96d01d,yolov5n,1,car
750912399_32f415ecb1_z_degraded.jpg,fbf4dfa8-472e-4033-ab4b-8b084d96d01d,yolov8n,1,car
36110689_9cbbccb36a_z_degraded.jpg,fc74c931-3556-4411-96ed-714867d86574,aggregated,0,dog
36110689_9cbbccb36a_z_degraded.jpg,fc74c931-3556-4411-96ed-714867d86574,yolov5n,0,dog
36110689_9cbbccb36a_z_degraded.jpg,fc74c931-3556-4411-96ed-714867d86574,yolov8n,0,dog
201365540_d1af73d7cd_z_degraded.jpg,309e2734-7414-4faf-8a23-3335336c5022,aggregated,1,person
201365540_d1af73d7cd_z_degraded.jpg,309e2734-7414-4faf-8a23-3335336c5022,yolov5n,0,person
201365540_d1af73d7cd_z_degraded.jpg,309e2734-7414-4faf-8a23-3335336c5022,yolov8n,1,person
5210291488_fe9939bdf1_z_degraded.jpg,3db31c1f-20a4-4d7c-8fa6-40a545a6d407,aggregated,1,person
5210291488_fe9939bdf1_z_degraded.jpg,3db31c1f-20a4-4d7c-8fa6-40a545a6d407,yolov5n,1,person
5210291488_fe9939bdf1_z_degraded.jpg,3db31c1f-20a4-4d7c-8fa6-40a545a6d407,yolov8n,1,person
5099996575_32762aeb7f_z_degraded.jpg,59b030fa-2eed-47fc-a960-c4ebfbf25db2,aggregated,0,car
5099996575_32762aeb7f_z_degraded.jpg,59b030fa-2eed-47fc-a960-c4ebfbf25db2,yolov5n,0,car
5099996575_32762aeb7f_z_degraded.jpg,59b030fa-2eed-47fc-a960-c4ebfbf25db2,yolov8n,0,car
7843905188_07e5d2a569_z_degraded.jpg,a72e6138-1cc9-48bd-b0f5-93c2afdcfbe0,aggregated,0,person
7843905188_07e5d2a569_z_degraded.jpg,a72e6138-1cc9-48bd-b0f5-93c2afdcfbe0,yolov5n,0,person
7843905188_07e5d2a569_z_degraded.jpg,a72e6138-1cc9-48bd-b0f5-93c2afdcfbe0,yolov8n,0,person
5210291488_fe9939bdf1_z_degraded.jpg,69e93ba5-ca22-4fff-8b84-1af5c771891e,aggregated,1,person
5210291488_fe9939bdf1_z_degraded.jpg,69e93ba5-ca22-4fff-8b84-1af5c771891e,yolov5n,1,person
5210291488_fe9939bdf1_z_degraded.jpg,69e93ba5-ca22-4fff-8b84-1af5c771891e,yolov8n,1,person
8032610600_1dd81d41a4_z_degraded.jpg,d065d735-4782-48bd-91f3-06198d1df9ba,aggregated,0,car
8032610600_1dd81d41a4_z_degraded.jpg,d065d735-4782-48bd-91f3-06198d1df9ba,yolov5n,0,car
8032610600_1dd81d41a4_z_degraded.jpg,d065d735-4782-48bd-91f3-06198d1df9ba,yolov8n,0,car
541124874_7247349bb7_z_degraded.jpg,4ad92765-b554-42e6-a2e9-4492e5eba2e9,aggregated,1,bicycle
541124874_7247349bb7_z_degraded.jpg,4ad92765-b554-42e6-a2e9-4492e5eba2e9,yolov5n,1,bicycle
541124874_7247349bb7_z_degraded.jpg,4ad92765-b554-42e6-a2e9-4492e5eba2e9,yolov8n,1,bicycle
4975505027_db5864977d_z_degraded.jpg,192f1581-6d1a-43d3-9818-c03ebc1e8962,aggregated,0,dog
4975505027_db5864977d_z_degraded.jpg,192f1581-6d1a-43d3-9818-c03ebc1e8962,yolov5n,0,dog
4975505027_db5864977d_z_degraded.jpg,192f1581-6d1a-43d3-9818-c03ebc1e8962,yolov8n,0,dog
7283869010_60b2e311b5_z_degraded.jpg,f3273ecb-6f56-4bc3-a6f9-6bc4e08aae5d,aggregated,0,dog
7283869010_60b2e311b5_z_degraded.jpg,f3273ecb-6f56-4bc3-a6f9-6bc4e08aae5d,yolov5n,0,dog
7283869010_60b2e311b5_z_degraded.jpg,f3273ecb-6f56-4bc3-a6f9-6bc4e08aae5d,yolov8n,0,dog
3499391979_76c0c01a3c_z_degraded.jpg,424de79f-e6a5-4c89-8ed1-e759192d70f7,aggregated,1,car
3499391979_76c0c01a3c_z_degraded.jpg,424de79f-e6a5-4c89-8ed1-e759192d70f7,yolov5n,1,car
3499391979_76c0c01a3c_z_degraded.jpg,424de79f-e6a5-4c89-8ed1-e759192d70f7,yolov8n,1,car
7675033952_b3caa0dd37_z_degraded.jpg,24f91c7e-31ae-48e5-81ce-594ea80f3d11,aggregated,1,bicycle
7675033952_b3caa0dd37_z_degraded.jpg,24f91c7e-31ae-48e5-81ce-594ea80f3d11,yolov5n,1,bicycle
7675033952_b3caa0dd37_z_degraded.jpg,24f91c7e-31ae-48e5-81ce-594ea80f3d11,yolov8n,1,bicycle
189076128_ee6f694a30_z_degraded.jpg,9b2dcd06-4ec0-46a1-8197-72f4235a4132,aggregated,1,person
189076128_ee6f694a30_z_degraded.jpg,9b2dcd06-4ec0-46a1-8197-72f4235a4132,yolov5n,1,person
189076128_ee6f694a30_z_degraded.jpg,9b2dcd06-4ec0-46a1-8197-72f4235a4132,yolov8n,1,person
19577109682_a0282d8678_z_degraded.jpg,44d77628-2f98-4930-91e7-635ce3752605,aggregated,0,car
19577109682_a0282d8678_z_degraded.jpg,44d77628-2f98-4930-91e7-635ce3752605,yolov5n,0,car
19577109682_a0282d8678_z_degraded.jpg,44d77628-2f98-4930-91e7-635ce3752605,yolov8n,0,car
2177230709_086e9d23d8_z_degraded.jpg,9e0d155a-dcf9-4148-a3ab-9ba91d32a358,aggregated,1,cat
2177230709_086e9d23d8_z_degraded.jpg,9e0d155a-dcf9-4148-a3ab-9ba91d32a358,yolov5n,0,cat
2177230709_086e9d23d8_z_degraded.jpg,9e0d155a-dcf9-4148-a3ab-9ba91d32a358,yolov8n,1,cat
7443993440_80892cc39d_z_degraded.jpg,f79c00a8-33e7-43d2-b360-8c958bdbedc9,aggregated,1,dog
7443993440_80892cc39d_z_degraded.jpg,f79c00a8-33e7-43d2-b360-8c958bdbedc9,yolov5n,0,dog
7443993440_80892cc39d_z_degraded.jpg,f79c00a8-33e7-43d2-b360-8c958bdbedc9,yolov8n,1,dog
8031274301_1d9bc9b665_z_degraded.jpg,7e2593e8-33ad-460e-a879-84ddc55f18e6,aggregated,1,person
8031274301_1d9bc9b665_z_degraded.jpg,7e2593e8-33ad-460e-a879-84ddc55f18e6,yolov5n,1,person
8031274301_1d9bc9b665_z_degraded.jpg,7e2593e8-33ad-460e-a879-84ddc55f18e6,yolov8n,1,person
3582713912_3d9ac5ecc9_z_degraded.jpg,e822ad8e-2235-432c-abe2-52803b5bbcd3,aggregated,1,cat
3582713912_3d9ac5ecc9_z_degraded.jpg,e822ad8e-2235-432c-abe2-52803b5bbcd3,yolov5n,1,cat
3582713912_3d9ac5ecc9_z_degraded.jpg,e822ad8e-2235-432c-abe2-52803b5bbcd3,yolov8n,1,cat
9141188655_328b195d8d_z_degraded.jpg,5894a50d-d90c-4fec-b96c-e154b79fc71d,aggregated,1,bicycle
9141188655_328b195d8d_z_degraded.jpg,5894a50d-d90c-4fec-b96c-e154b79fc71d,yolov5n,1,bicycle
9141188655_328b195d8d_z_degraded.jpg,5894a50d-d90c-4fec-b96c-e154b79fc71d,yolov8n,1,bicycle
6309741882_b074ee1a96_z_degraded.jpg,954912b3-f8f5-48d4-af1e-1233eecf405f,aggregated,1,person
6309741882_b074ee1a96_z_degraded.jpg,954912b3-f8f5-48d4-af1e-1233eecf405f,yolov5n,1,person
6309741882_b074ee1a96_z_degraded.jpg,954912b3-f8f5-48d4-af1e-1233eecf405f,yolov8n,1,person
14786765330_5d381d2451_z_degraded.jpg,99bb4b92-a4c9-4d61-a740-eecc4e2a99d5,aggregated,1,car
14786765330_5d381d2451_z_degraded.jpg,99bb4b92-a4c9-4d61-a740-eecc4e2a99d5,yolov5n,0,car
14786765330_5d381d2451_z_degraded.jpg,99bb4b92-a4c9-4d61-a740-eecc4e2a99d5,yolov8n,1,car
207320225_2446b6cf11_z_degraded.jpg,fcb10bcd-5a30-45bc-8c9d-2691e36b726e,aggregated,1,cat
207320225_2446b6cf11_z_degraded.jpg,fcb10bcd-5a30-45bc-8c9d-2691e36b726e,yolov5n,0,cat
207320225_2446b6cf11_z_degraded.jpg,fcb10bcd-5a30-45bc-8c9d-2691e36b726e,yolov8n,1,cat
