Image ID,RequestId,Model,correctly_detect,true_class
4030862073_d697f506b0_z.jpg,1a3e61ef-e87c-421b-941b-3771a7bc1aec,aggregated,1,person
4030862073_d697f506b0_z.jpg,1a3e61ef-e87c-421b-941b-3771a7bc1aec,yolov5n,1,person
4030862073_d697f506b0_z.jpg,1a3e61ef-e87c-421b-941b-3771a7bc1aec,yolov8n,1,person
16679943419_b0fd9b6858_z.jpg,361f9e43-7e68-4e34-8038-1ea8dc3da010,aggregated,1,bicycle
16679943419_b0fd9b6858_z.jpg,361f9e43-7e68-4e34-8038-1ea8dc3da010,yolov5n,1,bicycle
16679943419_b0fd9b6858_z.jpg,361f9e43-7e68-4e34-8038-1ea8dc3da010,yolov8n,1,bicycle
1428837563_12ec867e05_z.jpg,94e9a508-1e79-45bf-94ff-b984342f95dc,aggregated,1,cat
1428837563_12ec867e05_z.jpg,94e9a508-1e79-45bf-94ff-b984342f95dc,yolov5n,0,cat
1428837563_12ec867e05_z.jpg,94e9a508-1e79-45bf-94ff-b984342f95dc,yolov8n,1,cat
7548613890_a6272237ac_z.jpg,ff6b02d2-efce-4c1d-86c6-fa235a22b614,aggregated,1,bicycle
7548613890_a6272237ac_z.jpg,ff6b02d2-efce-4c1d-86c6-fa235a22b614,yolov5n,1,bicycle
7548613890_a6272237ac_z.jpg,ff6b02d2-efce-4c1d-86c6-fa235a22b614,yolov8n,1,bicycle
5007439610_5bb351fc1f_z.jpg,f5fddcfa-fc21-4ca5-a81e-6bba6052adc2,aggregated,1,car
5007439610_5bb351fc1f_z.jpg,f5fddcfa-fc21-4ca5-a81e-6bba6052adc2,yolov5n,0,car
5007439610_5bb351fc1f_z.jpg,f5fddcfa-fc21-4ca5-a81e-6bba6052adc2,yolov8n,1,car
7675033952_b3caa0dd37_z.jpg,c8279201-8bf5-4b81-87d6-497784fa7f40,aggregated,1,bicycle
7675033952_b3caa0dd37_z.jpg,c8279201-8bf5-4b81-87d6-497784fa7f40,yolov5n,1,bicycle
7675033952_b3caa0dd37_z.jpg,c8279201-8bf5-4b81-87d6-497784fa7f40,yolov8n,1,bicycle
3666190087_ca2fb0d709_z.jpg,bd1b523a-3821-4bc4-83f9-eed287f54330,aggregated,1,bicycle
3666190087_ca2fb0d709_z.jpg,bd1b523a-3821-4bc4-83f9-eed287f54330,yolov5n,1,bicycle
3666190087_ca2fb0d709_z.jpg,bd1b523a-3821-4bc4-83f9-eed287f54330,yolov8n,1,bicycle
9372235876_d7d69f1790_z.jpg,c49ab40b-b848-4248-a5e7-ebb522469706,aggregated,1,cat
