Image ID,Model,Object detected,Confidence
b'4730790029_bdc24fcb8c_z.jpg',aggregated,bear,0.5780420899391174
b'4730790029_bdc24fcb8c_z.jpg',aggregated,cat,0.595245361328125
b'4730790029_bdc24fcb8c_z.jpg',yolov5n,bear,0.5780420899391174
b'4730790029_bdc24fcb8c_z.jpg',yolov8n,cat,0.595245361328125
b'16104664631_cce4a9a58c_z.jpg',aggregated,person,0.6109070777893066
b'16104664631_cce4a9a58c_z.jpg',aggregated,person,0.27180421352386475
b'16104664631_cce4a9a58c_z.jpg',yolov8n,person,0.6109070777893066
b'16104664631_cce4a9a58c_z.jpg',yolov8n,person,0.27180421352386475
b'858829152_629399f0a4_z.jpg',aggregated,cat,0.7645792961120605
b'858829152_629399f0a4_z.jpg',yolov5n,bear,0.5310964584350586
b'858829152_629399f0a4_z.jpg',yolov8n,cat,0.7645792961120605
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.7114511728286743
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.5229974985122681
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.5141428709030151
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.7547837495803833
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.37349626421928406
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.9099200963973999
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.8733116984367371
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.7826195955276489
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.7669522762298584
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.7465552091598511
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.5794849991798401
b'8874948232_195679aa4e_z.jpg',aggregated,person,0.3515729010105133
b'8874948232_195679aa4e_z.jpg',yolov5n,person,0.7114511728286743
b'8874948232_195679aa4e_z.jpg',yolov5n,person,0.5229974985122681
b'8874948232_195679aa4e_z.jpg',yolov5n,person,0.5141428709030151
b'8874948232_195679aa4e_z.jpg',yolov5n,person,0.38593658804893494
b'8874948232_195679aa4e_z.jpg',yolov5n,person,0.37349626421928406
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.9099200963973999
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.8733116984367371
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.7826195955276489
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.7669522762298584
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.7547837495803833
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.7465552091598511
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.5794849991798401
b'8874948232_195679aa4e_z.jpg',yolov8n,person,0.3515729010105133
b'6897439523_236f77f06f_z.jpg',aggregated,cat,0.7035982012748718
b'6897439523_236f77f06f_z.jpg',aggregated,dog,0.6628009676933289
b'6897439523_236f77f06f_z.jpg',yolov8n,cat,0.7035982012748718
b'6897439523_236f77f06f_z.jpg',yolov8n,dog,0.6628009676933289
b'5878631770_0c5592a1ee_z.jpg',aggregated,dog,0.8392676711082458
b'5878631770_0c5592a1ee_z.jpg',aggregated,car,0.41715139150619507
b'5878631770_0c5592a1ee_z.jpg',yolov5n,elephant,0.5328259468078613
b'5878631770_0c5592a1ee_z.jpg',yolov8n,dog,0.8392676711082458
b'5878631770_0c5592a1ee_z.jpg',yolov8n,car,0.41715139150619507
b'11381011104_36225e2ccc_z.jpg',aggregated,elephant,0.4616164267063141
b'11381011104_36225e2ccc_z.jpg',aggregated,elephant,0.534182071685791
b'11381011104_36225e2ccc_z.jpg',yolov5n,elephant,0.4616164267063141
b'11381011104_36225e2ccc_z.jpg',yolov8n,elephant,0.534182071685791
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.47509506344795227
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.36078202724456787
b'16982913298_aa90f2a62b_z.jpg',aggregated,traffic light,0.3059285581111908
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.25593075156211853
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.8650860786437988
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.5878536701202393
b'16982913298_aa90f2a62b_z.jpg',yolov5n,car,0.47509506344795227
b'16982913298_aa90f2a62b_z.jpg',yolov5n,car,0.36078202724456787
b'16982913298_aa90f2a62b_z.jpg',yolov5n,traffic light,0.3059285581111908
b'16982913298_aa90f2a62b_z.jpg',yolov5n,car,0.25593075156211853
b'16982913298_aa90f2a62b_z.jpg',yolov8n,car,0.8650860786437988
b'16982913298_aa90f2a62b_z.jpg',yolov8n,car,0.5878536701202393
b'2525539133_73f08a9471_z.jpg',aggregated,car,0.4862278997898102
b'2525539133_73f08a9471_z.jpg',aggregated,car,0.9470611214637756
b'2525539133_73f08a9471_z.jpg',yolov5n,car,0.4862278997898102
b'2525539133_73f08a9471_z.jpg',yolov8n,car,0.9470611214637756
b'5708252159_5b4ac86a01_z.jpg',aggregated,bicycle,0.9015202522277832
b'5708252159_5b4ac86a01_z.jpg',aggregated,bicycle,0.48167815804481506
b'5708252159_5b4ac86a01_z.jpg',aggregated,chair,0.39844468235969543
b'5708252159_5b4ac86a01_z.jpg',aggregated,bicycle,0.9165442585945129
b'5708252159_5b4ac86a01_z.jpg',aggregated,bicycle,0.3271724581718445
b'5708252159_5b4ac86a01_z.jpg',yolov5n,bicycle,0.702454686164856
b'5708252159_5b4ac86a01_z.jpg',yolov5n,bicycle,0.48167815804481506
b'5708252159_5b4ac86a01_z.jpg',yolov5n,chair,0.39844468235969543
b'5708252159_5b4ac86a01_z.jpg',yolov8n,bicycle,0.9165442585945129
b'5708252159_5b4ac86a01_z.jpg',yolov8n,bicycle,0.9015202522277832
b'5708252159_5b4ac86a01_z.jpg',yolov8n,bicycle,0.3271724581718445
b'342659307_d5d9d36af5_z.jpg',aggregated,person,0.4592204988002777
b'342659307_d5d9d36af5_z.jpg',aggregated,person,0.3244193494319916
b'342659307_d5d9d36af5_z.jpg',aggregated,person,0.49792665243148804
b'342659307_d5d9d36af5_z.jpg',aggregated,person,0.4638138711452484
b'342659307_d5d9d36af5_z.jpg',aggregated,car,0.4150208532810211
b'342659307_d5d9d36af5_z.jpg',aggregated,truck,0.316444456577301
b'342659307_d5d9d36af5_z.jpg',aggregated,person,0.31000271439552307
b'342659307_d5d9d36af5_z.jpg',aggregated,person,0.2933279573917389
b'342659307_d5d9d36af5_z.jpg',aggregated,person,0.27972838282585144
b'342659307_d5d9d36af5_z.jpg',yolov5n,person,0.4592204988002777
b'342659307_d5d9d36af5_z.jpg',yolov5n,person,0.3244193494319916
b'342659307_d5d9d36af5_z.jpg',yolov5n,person,0.28853482007980347
b'342659307_d5d9d36af5_z.jpg',yolov8n,person,0.49792665243148804
b'342659307_d5d9d36af5_z.jpg',yolov8n,person,0.4638138711452484
b'342659307_d5d9d36af5_z.jpg',yolov8n,car,0.4150208532810211
b'342659307_d5d9d36af5_z.jpg',yolov8n,truck,0.316444456577301
b'342659307_d5d9d36af5_z.jpg',yolov8n,person,0.31000271439552307
b'342659307_d5d9d36af5_z.jpg',yolov8n,person,0.2933279573917389
b'342659307_d5d9d36af5_z.jpg',yolov8n,person,0.27972838282585144
b'2206074222_69cc088500_z.jpg',aggregated,cat,0.5144395232200623
b'2206074222_69cc088500_z.jpg',aggregated,cat,0.9220236539840698
b'2206074222_69cc088500_z.jpg',yolov5n,cat,0.5144395232200623
b'2206074222_69cc088500_z.jpg',yolov8n,cat,0.9220236539840698
b'7443993440_80892cc39d_z.jpg',aggregated,dog,0.8503448963165283
b'7443993440_80892cc39d_z.jpg',yolov8n,dog,0.8503448963165283
b'5826499075_8c91ec270b_z.jpg',aggregated,person,0.35912343859672546
b'5826499075_8c91ec270b_z.jpg',aggregated,tie,0.29522475600242615
b'5826499075_8c91ec270b_z.jpg',yolov5n,kite,0.25393250584602356
b'5826499075_8c91ec270b_z.jpg',yolov8n,person,0.35912343859672546
b'5826499075_8c91ec270b_z.jpg',yolov8n,tie,0.29522475600242615
b'4065552857_98aa8a39d4_z.jpg',aggregated,person,0.6772576570510864
b'4065552857_98aa8a39d4_z.jpg',aggregated,person,0.612472653388977
b'4065552857_98aa8a39d4_z.jpg',aggregated,bicycle,0.7203853726387024
b'4065552857_98aa8a39d4_z.jpg',aggregated,person,0.8235974907875061
b'4065552857_98aa8a39d4_z.jpg',aggregated,person,0.8171577453613281
b'4065552857_98aa8a39d4_z.jpg',aggregated,person,0.5793651938438416
b'4065552857_98aa8a39d4_z.jpg',aggregated,bicycle,0.5696219205856323
b'4065552857_98aa8a39d4_z.jpg',aggregated,person,0.4988977909088135
b'4065552857_98aa8a39d4_z.jpg',aggregated,bicycle,0.3399181067943573
b'4065552857_98aa8a39d4_z.jpg',yolov5n,person,0.6772576570510864
b'4065552857_98aa8a39d4_z.jpg',yolov5n,person,0.612472653388977
b'4065552857_98aa8a39d4_z.jpg',yolov5n,bicycle,0.35840296745300293
b'4065552857_98aa8a39d4_z.jpg',yolov8n,person,0.8235974907875061
b'4065552857_98aa8a39d4_z.jpg',yolov8n,person,0.8171577453613281
b'4065552857_98aa8a39d4_z.jpg',yolov8n,bicycle,0.7203853726387024
b'4065552857_98aa8a39d4_z.jpg',yolov8n,person,0.5793651938438416
b'4065552857_98aa8a39d4_z.jpg',yolov8n,bicycle,0.5696219205856323
b'4065552857_98aa8a39d4_z.jpg',yolov8n,person,0.4988977909088135
b'4065552857_98aa8a39d4_z.jpg',yolov8n,bicycle,0.3399181067943573
b'15983066535_629c335c63_z.jpg',aggregated,person,0.9197460412979126
b'15983066535_629c335c63_z.jpg',yolov5n,person,0.5430229306221008
b'15983066535_629c335c63_z.jpg',yolov8n,person,0.9197460412979126
b'6835338988_c013b40c94_z.jpg',aggregated,cat,0.8657262921333313
b'6835338988_c013b40c94_z.jpg',yolov8n,cat,0.8657262921333313
b'3157735385_c9e7580f03_z.jpg',aggregated,truck,0.397289901971817
b'3157735385_c9e7580f03_z.jpg',yolov5n,car,0.38988879323005676
b'3157735385_c9e7580f03_z.jpg',yolov8n,truck,0.397289901971817
b'5878631770_0c5592a1ee_z.jpg',aggregated,dog,0.8392676711082458
b'5878631770_0c5592a1ee_z.jpg',aggregated,car,0.41715139150619507
b'5878631770_0c5592a1ee_z.jpg',yolov5n,elephant,0.5328259468078613
b'5878631770_0c5592a1ee_z.jpg',yolov8n,dog,0.8392676711082458
b'5878631770_0c5592a1ee_z.jpg',yolov8n,car,0.41715139150619507
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.47509506344795227
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.36078202724456787
b'16982913298_aa90f2a62b_z.jpg',aggregated,traffic light,0.3059285581111908
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.25593075156211853
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.8650860786437988
b'16982913298_aa90f2a62b_z.jpg',aggregated,car,0.5878536701202393
b'16982913298_aa90f2a62b_z.jpg',yolov5n,car,0.47509506344795227
b'16982913298_aa90f2a62b_z.jpg',yolov5n,car,0.36078202724456787
b'16982913298_aa90f2a62b_z.jpg',yolov5n,traffic light,0.3059285581111908
b'16982913298_aa90f2a62b_z.jpg',yolov5n,car,0.25593075156211853
b'16982913298_aa90f2a62b_z.jpg',yolov8n,car,0.8650860786437988
b'16982913298_aa90f2a62b_z.jpg',yolov8n,car,0.5878536701202393
b'81717243_2c9fcf3dab_z.jpg',aggregated,dog,0.6023901104927063
b'81717243_2c9fcf3dab_z.jpg',aggregated,dog,0.8206624984741211
b'81717243_2c9fcf3dab_z.jpg',yolov5n,dog,0.6023901104927063
b'81717243_2c9fcf3dab_z.jpg',yolov8n,dog,0.8206624984741211
b'6102395478_8c004e1142_z.jpg',aggregated,person,0.3978031575679779
b'6102395478_8c004e1142_z.jpg',yolov8n,person,0.3978031575679779
b'11381011104_36225e2ccc_z.jpg',aggregated,elephant,0.4616164267063141
b'11381011104_36225e2ccc_z.jpg',aggregated,elephant,0.534182071685791
b'11381011104_36225e2ccc_z.jpg',yolov5n,elephant,0.4616164267063141
b'11381011104_36225e2ccc_z.jpg',yolov8n,elephant,0.534182071685791
