Image ID,Model,Object detected,Confidence
b'809525484_e2e6f137aa_z.jpg',aggregated,dog,0.31676816940307617
b'809525484_e2e6f137aa_z.jpg',aggregated,dog,0.4255763292312622
b'809525484_e2e6f137aa_z.jpg',aggregated,dog,0.40463149547576904
b'809525484_e2e6f137aa_z.jpg',yolo5,dog,0.31676816940307617
b'809525484_e2e6f137aa_z.jpg',yolo8,dog,0.4255763292312622
b'809525484_e2e6f137aa_z.jpg',yolo8,dog,0.40463149547576904
b'5575004957_c281c5de1f_z.jpg',aggregated,car,0.4332406520843506
b'5575004957_c281c5de1f_z.jpg',aggregated,car,0.8395898938179016
b'5575004957_c281c5de1f_z.jpg',aggregated,car,0.790532112121582
b'5575004957_c281c5de1f_z.jpg',yolo5,car,0.4332406520843506
b'5575004957_c281c5de1f_z.jpg',yolo5,car,0.40108776092529297
b'5575004957_c281c5de1f_z.jpg',yolo8,car,0.8395898938179016
b'5575004957_c281c5de1f_z.jpg',yolo8,car,0.790532112121582
b'15083791924_c7195faca3_z.jpg',aggregated,person,0.7680597901344299
b'15083791924_c7195faca3_z.jpg',aggregated,person,0.6078191995620728
b'15083791924_c7195faca3_z.jpg',yolo5,person,0.7680597901344299
b'15083791924_c7195faca3_z.jpg',yolo8,person,0.6078191995620728
b'2230295891_a68077f047_z.jpg',aggregated,cat,0.6299878358840942
b'2230295891_a68077f047_z.jpg',aggregated,cat,0.47496145963668823
b'2230295891_a68077f047_z.jpg',aggregated,cat,0.4321092665195465
b'2230295891_a68077f047_z.jpg',yolo8,cat,0.6299878358840942
b'2230295891_a68077f047_z.jpg',yolo8,cat,0.47496145963668823
b'2230295891_a68077f047_z.jpg',yolo8,cat,0.4321092665195465
b'8538565946_199e28b584_z.jpg',aggregated,person,0.2604800760746002
b'8538565946_199e28b584_z.jpg',aggregated,person,0.8814337849617004
b'8538565946_199e28b584_z.jpg',yolo5,person,0.2604800760746002
b'8538565946_199e28b584_z.jpg',yolo8,person,0.8814337849617004
b'5007439610_5bb351fc1f_z.jpg',aggregated,car,0.8628385066986084
b'5007439610_5bb351fc1f_z.jpg',yolo5,suitcase,0.4001848101615906
b'5007439610_5bb351fc1f_z.jpg',yolo8,car,0.8628385066986084
b'138805025_80da2e3a82_z.jpg',aggregated,cat,0.8967852592468262
b'138805025_80da2e3a82_z.jpg',aggregated,book,0.2932601571083069
b'138805025_80da2e3a82_z.jpg',yolo8,cat,0.8967852592468262
b'138805025_80da2e3a82_z.jpg',yolo8,book,0.2932601571083069
b'5048937296_7c707f1d71_z.jpg',aggregated,cat,0.2909628748893738
b'5048937296_7c707f1d71_z.jpg',aggregated,person,0.7316067814826965
b'5048937296_7c707f1d71_z.jpg',aggregated,laptop,0.250623494386673
b'5048937296_7c707f1d71_z.jpg',aggregated,cat,0.8612942695617676
b'5048937296_7c707f1d71_z.jpg',aggregated,tv,0.6707891821861267
b'5048937296_7c707f1d71_z.jpg',yolo5,cat,0.2909628748893738
b'5048937296_7c707f1d71_z.jpg',yolo5,person,0.2745961546897888
b'5048937296_7c707f1d71_z.jpg',yolo5,laptop,0.250623494386673
b'5048937296_7c707f1d71_z.jpg',yolo8,cat,0.8612942695617676
b'5048937296_7c707f1d71_z.jpg',yolo8,person,0.7316067814826965
b'5048937296_7c707f1d71_z.jpg',yolo8,tv,0.6707891821861267
b'5340010485_edeaa88c83_z.jpg',aggregated,car,0.7069951295852661
b'5340010485_edeaa88c83_z.jpg',aggregated,car,0.8984944820404053
b'5340010485_edeaa88c83_z.jpg',aggregated,car,0.879389762878418
b'5340010485_edeaa88c83_z.jpg',aggregated,car,0.5082716345787048
b'5340010485_edeaa88c83_z.jpg',yolo5,car,0.7069951295852661
b'5340010485_edeaa88c83_z.jpg',yolo5,car,0.6110446453094482
b'5340010485_edeaa88c83_z.jpg',yolo8,car,0.8984944820404053
